frequency,s11
124989979.95991959 0.0,0.5885299972946209 -0.5433273261734641
125370741.48296568 0.0,0.4423642269312493 -0.7174322547835381
125751503.00601177 0.0,0.27025460182496097 -0.8362718515402567
126132264.52905786 0.0,0.09367116279280818 -0.903231392128116
126513026.05210395 0.0,-0.07308959501987156 -0.9280187140042483
126893787.57515004 0.0,-0.2226651864525948 -0.921776892154211
127274549.09819613 0.0,-0.35262408626556435 -0.8943687704382202
127655310.62124223 0.0,-0.4633977336493345 -0.8534586037720556
128036072.14428832 0.0,-0.5567844896972238 -0.804563605280322
128416833.66733441 0.0,-0.6350512940852269 -0.7514642094774051
128797595.1903805 0.0,-0.7004642731299634 -0.6966604115632831
129178356.71342659 0.0,-0.7550784950122883 -0.6417561613984256
129559118.23647268 0.0,-0.800667713164526 -0.5877478299008784
129939879.75951877 0.0,-0.8387225212461933 -0.535228221933259
130320641.28256486 0.0,-0.8704777616643777 -0.48452616821158906
130701402.80561095 0.0,-0.8969492888415006 -0.43580022256151063
131082164.32865705 0.0,-0.9189707615571101 -0.38910082933750945
131462925.85170314 0.0,-0.937226618785283 -0.3444112584582196
131843687.37474923 0.0,-0.952280080263047 -0.30167439797505624
132224448.89779532 0.0,-0.9645962369301654 -0.2608101810916063
132605210.42084141 0.0,-0.9745607847035184 -0.22172682960621193
132985971.9438875 0.0,-0.9824950907639818 -0.18432802172127383
133366733.4669336 0.0,-0.9886682601444908 -0.14851737782020769
133747494.98997968 0.0,-0.9933067884591074 -0.11420118545976689
134128256.51302578 0.0,-0.9966022896518615 -0.08128997307862776
134509018.03607187 0.0,-0.9987176955612336 -0.04969933608269944
134889779.55911797 0.0,-0.9997922442603123 -0.019350282812472322
135270541.08216408 0.0,-0.9999455080823403 0.009830722382240045
135651302.60521019 0.0,-0.9992806590206927 0.03791190175154377
136032064.1282563 0.0,-0.9978871269650428 0.06495641522190967
136412825.6513024 0.0,-0.9958427730274925 0.09102266941884724
136793587.1743485 0.0,-0.993215674221955 0.11616465195115074
137174348.6973946 0.0,-0.9900655954607223 0.14043227018470278
137555110.22044072 0.0,-0.9864452089815589 0.1638716816742778
137935871.74348682 0.0,-0.9824011089292819 0.18652560869201507
138316633.26653293 0.0,-0.9779746591132833 0.20843363276375151
138697394.78957903 0.0,-0.9732027043448619 0.22963246738594117
139078156.31262514 0.0,-0.9681181697597951 0.2501562085424139
139458917.83567125 0.0,-0.9627505677927027 0.2700365635393857
139839679.35871735 0.0,-0.9571264287129077 0.28930305921079974
140220440.88176346 0.0,-0.9512696676424593 0.30798323083716095
140601202.40480956 0.0,-0.9452018985900938 0.32610279325341746
140981963.92785567 0.0,-0.9389427041217261 0.343685795651638
141362725.45090178 0.0,-0.9325098677489388 0.3607547615506139
141743486.97394788 0.0,-0.9259195748740788 0.3773308153328405
142124248.496994 0.0,-0.9191865871233011 0.39343379665665007
142505010.0200401 0.0,-0.9123243940796095 0.4090823639490592
142885771.5430862 0.0,-0.9053453457591205 0.4242940880802304
143266533.0661323 0.0,-0.8982607686259665 0.43908553721813753
143647294.5891784 0.0,-0.8910810674908949 0.45347235376463857
144028056.11222452 0.0,-0.8838158152672158 0.4674693241833206
144408817.63527063 0.0,-0.8764738322504522 0.48109044244584054
144789579.15831673 0.0,-0.8690632563328771 0.49434896774726816
145170340.68136284 0.0,-0.8615916053516639 0.5072574770719355
145551102.20440894 0.0,-0.8540658325919137 0.5198279131292013
145931863.72745505 0.0,-0.8464923763170777 0.5320716281228726
146312625.25050116 0.0,-0.8388772040743615 0.5439994237682386
146693386.77354726 0.0,-0.8312258524173594 0.5556215879263039
147074148.29659337 0.0,-0.8235434625991698 0.5669479281852691
147454909.81963947 0.0,-0.8158348127138093 0.5779878026841297
147835671.34268558 0.0,-0.8081043466996537 0.5887501484420248
148216432.8657317 0.0,-0.8003562005640252 0.5992435074291479
148597194.3887778 0.0,-0.7925942261414065 0.6094760505903707
148977955.9118239 0.0,-0.7848220126578048 0.6194556000107767
149358717.43487 0.0,-0.7770429063395419 0.6291896493927895
149739478.9579161 0.0,-0.7692600282752082 0.6386853829972428
